Division,Sport,Gender,Year,Total_Athletes,N_Athletes_Black,N_Athletes_Other,N_Athletes_White,Percent_Athletes_Black,Percent_Athletes_Other,Percent_Athletes_White
Division I,Baseball,Male,2019,10783,667,1906,8210,6.1856626170824445,17.67597143652045,76.1383659463971
Division I,Basketball,Male,2019,5510,3086,1155,1269,56.00725952813067,20.961887477313976,23.030852994555353
Division I,Cross Country,Male,2019,4889,471,1075,3343,9.633871957455513,21.988136633258335,68.37799140928615
Division I,Fencing,Male,2019,396,15,177,204,3.787878787878788,44.696969696969695,51.515151515151516
Division I,Football,Male,2019,29206,14206,4318,10682,48.640690269122786,14.78463329452852,36.574676436348696
Division I,Golf,Male,2019,2901,59,822,2020,2.033781454670803,28.335056876938985,69.6311616683902
Division I,Gymnastics,Male,2019,312,19,85,208,6.089743589743589,27.24358974358974,66.66666666666666
Division I,Ice Hockey,Male,2019,1114,8,346,760,0.718132854578097,31.05924596050269,68.2226211849192
Division I,Lacrosse,Male,2019,3345,112,503,2730,3.348281016442452,15.037369207772795,81.61434977578476
Division I,Rifle,Male,2019,113,1,13,99,0.8849557522123894,11.504424778761061,87.61061946902655
Division I,Skiing,Male,2019,149,0,53,96,0,35.57046979865772,64.42953020134227
Division I,Soccer,Male,2019,6044,578,2535,2931,9.56320317670417,41.94242223692918,48.494374586366646
Division I,Swimming,Male,2019,3771,72,1037,2662,1.9093078758949882,27.499337045876427,70.59135507822859
Division I,Tennis,Male,2019,2539,69,1484,986,2.717605356439543,58.448207955888144,38.834186687672315
Division I,Indoor Track,Male,2019,10284,2835,2081,5368,27.567094515752625,20.235316997277327,52.19758848697005
Division I,Outdoor Track,Male,2019,11227,3013,2340,5874,26.837089160060568,20.842611561414447,52.320299278524985
Division I,Volleyball,Male,2019,455,14,120,321,3.076923076923077,26.373626373626376,70.54945054945055
Division I,Water Polo,Male,2019,603,4,189,410,0.6633499170812603,31.343283582089555,67.99336650082918
Division I,Wrestling,Male,2019,2339,158,482,1699,6.75502351432236,20.607097050021377,72.63787943565626
